Tab,Chat,Sender,Message
"Primary","ruben badalov и Dionysus","Partner","Request (1)"
"Primary","ruben badalov и Dionysus","Partner","1 дн."
"Primary","ruben badalov и Dionysus","Partner","2 нед."
"Primary","ruben badalov и Dionysus","Partner","3 нед."
"Primary","ruben badalov и Dionysus","Me","ruben_badalov создал(-а) группу."
"Primary","ruben badalov и Dionysus","Me","ruben badalov"
"Primary","ruben badalov и Dionysus","Me","Сообщение недоступно"
"Primary","ruben badalov и Dionysus","Me","Владелец этого контента мог удалить его или скрыть с помощью настроек конфиденциальности."
"Primary","ruben badalov и Dionysus","Partner","Вы не можете отправлять сообщения в этой группе"
"Primary","ruben badalov и Dionysus","Partner","Вы больше не состоите в этой группе. Если вы хотите звонить и принимать вызовы, а также обмениваться сообщениями в группе, вам необходимо присоединиться к ней ещё раз."
"Primary","Татьяна Воробьёва | Раскрываю Женскую Энергию","Partner","Request (1)"
"Primary","Татьяна Воробьёва | Раскрываю Женскую Энергию","Partner","1 дн."
"Primary","Татьяна Воробьёва | Раскрываю Женскую Энергию","Partner","2 нед."
"Primary","Татьяна Воробьёва | Раскрываю Женскую Энергию","Partner","3 нед."
"Primary","Татьяна Воробьёва | Раскрываю Женскую Энергию","Partner","vorobeva_tatyanaa"
"Primary","Татьяна Воробьёва | Раскрываю Женскую Энергию","Partner","vorobeva_tatyanaa · Instagram"
"Primary","Татьяна Воробьёва | Раскрываю Женскую Энергию","Me","7 фев 2026 г., 20:25"
"Primary","Татьяна Воробьёва | Раскрываю Женскую Энергию","Me","Кому душу за вайб продала, признавайся"
"Primary","Yunona","Partner","Request (1)"
"Primary","Yunona","Partner","1 дн."
"Primary","Yunona","Partner","2 нед."
"Primary","Yunona","Partner","3 нед."
"Primary","Yunona","Partner","yunona_voskresenskaya"
"Primary","Yunona","Partner","yunona_voskresenskaya · Instagram"
"Primary","Yunona","Me","18 янв 2026 г., 20:23"
"Primary","Yunona","Me","Спасибо, конечно, но у рыжих, говорят, ее нет вовсе)"
"Primary","Yunona","Me","29 янв 2026 г., 15:37"
"Primary","Yunona","Me","Не знаю, выглядишь эмпатичной)  С ноткой, что за киндер вилкой пырнешь"
"Primary","Yunona","Me","Или так и задумывалось"
"Primary","Yunona","Me","2 фев 2026 г., 20:39"
"Primary","Yunona","Me","Yunona вам ответил(-а)"
"Primary","Yunona","Me","Ну и киндер того стоит же)"
"Primary","Yunona","Me","2 фев 2026 г., 21:15"
"Primary","Yunona","Me","Хах, Моя)  Если всегда такая, то в загс еще успеем"
